day,hour,operation
9,03:59,стартовал grafana
9,03:59,стартовал grafana
9,04:15,перешел в status FINISHED
9,04:17,перешел в status FINISHED
9,04:17,перешел в status FINISHED
9,04:20,запустил test
9,04:20,запустил test
9,04:20,запустил test
9,04:21,стартовал grafana
9,04:21,перешел в status TEST_STOPPING
9,04:21,перешел в status CANCELED
9,04:21,перешел в status TEST_STOPPING
9,04:21,перешел в status CANCELED
9,04:21,перешел в status TEST_STOPPING
9,04:21,перешел в status CANCELED
9,04:23,запустил test
9,04:23,запустил test
9,04:23,запустил test
9,04:23,стартовал grafana
9,04:24,перешел в status TEST_STOPPING
9,04:24,перешел в status CANCELED
9,04:24,перешел в status TEST_STOPPING
9,04:24,перешел в status CANCELED
9,04:24,перешел в status TEST_STOPPING
9,04:24,перешел в status CANCELED
9,04:33,запустил test
9,04:33,запустил test
9,04:33,запустил test
9,04:33,стартовал grafana
9,04:35,стартовал grafana
9,04:35,стартовал grafana
9,04:51,перешел в status FINISHED
9,04:53,перешел в status FINISHED
9,04:53,перешел в status FINISHED
9,05:17,запустил test
9,05:17,перешел в status TEST_STOPPING
9,05:17,перешел в status CANCELED
9,05:18,запустил test
9,05:21,стартовал grafana
9,05:22,перешел в status TEST_STOPPING
9,05:22,перешел в status CANCELED
9,05:27,запустил test
9,05:28,стартовал grafana
9,05:56,перешел в status FINISHED
9,05:57,запустил test
9,05:57,запустил test
9,05:57,запустил test
9,05:57,стартовал grafana
9,05:57,запустил test
9,05:59,стартовал grafana
9,05:59,стартовал grafana
9,05:59,стартовал grafana
9,06:18,перешел в status FINISHED
9,06:20,перешел в status FINISHED
9,06:20,перешел в status FINISHED
9,06:20,перешел в status FINISHED
9,11:49,команда создана в графане
9,11:49,команда создана
9,11:49,зарегистрировался
9,11:49,подписка для команды создана
10,12:11,запустил test
10,12:13,стартовал grafana
10,12:18,перешел в status TEST_STOPPING
10,12:18,перешел в status CANCELED
10,05:22,запустил test
10,05:22,стартовал grafana
10,05:22,запустил test
10,05:25,стартовал grafana
10,05:26,перешел в status TEST_STOPPING
10,05:26,перешел в status CANCELED
10,05:26,перешел в status TEST_STOPPING
10,05:26,перешел в status CANCELED
10,06:47,запустил test
10,06:47,стартовал grafana
10,06:50,запустил test
10,06:53,стартовал grafana
10,06:53,запустил test
10,06:53,стартовал grafana
10,06:58,перешел в status TEST_STOPPING
10,06:58,перешел в status CANCELED
10,06:58,перешел в status TEST_STOPPING
10,06:58,перешел в status CANCELED
10,06:58,перешел в status TEST_STOPPING
10,06:58,перешел в status CANCELED
10,09:31,обновил подписку
11,01:33,команда создана в графане
11,01:33,подписка для команды создана
11,01:33,команда создана
11,01:33,зарегистрировался
11,01:59,команда создана в графане
11,01:59,подписка для команды создана
11,01:59,зарегистрировался
11,01:59,команда создана
11,05:16,запустил test
11,05:17,стартовал grafana
11,05:23,перешел в status FINISHED
11,07:08,запустил test
11,07:09,стартовал grafana
11,07:42,перешел в status FINISHED
11,07:57,запустил test
11,07:57,запустил test
11,07:57,запустил test
11,07:57,запустил test
11,07:59,стартовал grafana
11,07:59,стартовал grafana
11,07:59,стартовал grafana
11,08:00,стартовал grafana
11,08:18,перешел в status TEST_STOPPING
11,08:18,перешел в status CANCELED
11,08:18,перешел в status TEST_STOPPING
11,08:18,перешел в status CANCELED
11,08:18,перешел в status TEST_STOPPING
11,08:18,перешел в status CANCELED
11,08:18,перешел в status TEST_STOPPING
11,08:18,перешел в status CANCELED
11,08:34,запустил test
11,08:34,перешел в status TEST_STOPPING
11,08:35,перешел в status FAILED
11,08:48,запустил test
11,08:48,стартовал grafana
11,08:48,запустил test
11,08:49,запустил test
11,08:51,стартовал grafana
11,08:51,стартовал grafana
11,08:59,перешел в status TEST_STOPPING
11,08:59,перешел в status CANCELED
11,09:01,перешел в status TEST_STOPPING
11,09:01,перешел в status CANCELED
11,09:02,перешел в status TEST_STOPPING
11,09:02,перешел в status CANCELED
11,09:03,запустил test
11,09:04,стартовал grafana
11,09:04,запустил test
11,09:04,стартовал grafana
11,09:04,запустил test
11,09:05,стартовал grafana
11,09:09,перешел в status TEST_STOPPING
11,09:09,перешел в status CANCELED
11,09:10,запустил test
11,09:10,стартовал grafana
11,09:12,перешел в status TEST_STOPPING
11,09:12,перешел в status CANCELED
11,09:13,перешел в status TEST_STOPPING
11,09:13,перешел в status CANCELED
